human_gene	human_ncbi_gene_id	human_ensembl_gene_id	hgnc_id	mouse_gene	mouse_ncbi_gene_id	mgi_marker_id	source
C4orf36	132989	ENSG00000163633	HGNC:28386	1700016H13Rik	74218	MGI:1921468	MGI_HOM_ProteinCoding
C16orf95	100506581	ENSG00000260456	HGNC:40033	1700018B08Rik	76405	MGI:1923655	MGI_HOM_ProteinCoding
C20orf141	128653	ENSG00000258713	HGNC:16134	1700020A23Rik	75656	MGI:1922906	MGI_HOM_ProteinCoding
PGBDF	146853	ENSG00000270806	HGNC:29581	1700020L24Rik	66330	MGI:1913580	MGI_HOM_ProteinCoding
C10orf53	282966	ENSG00000178645	HGNC:27421	1700024G13Rik	67085	MGI:1914335	MGI_HOM_ProteinCoding
C1orf21	81563	ENSG00000116667	HGNC:15494	1700025G04Rik	69399	MGI:1916649	MGI_HOM_ProteinCoding
C1orf146	388649	ENSG00000203910	HGNC:24032	1700028K03Rik	76421	MGI:1923671	MGI_HOM_ProteinCoding
C13orf46	100507747	ENSG00000283199	HGNC:53786	1700029H14Rik	66501	MGI:1913751	MGI_HOM_ProteinCoding
C16orf46	123775	ENSG00000166455	HGNC:26525	1700030J22Rik	69528	MGI:1916778	MGI_HOM_ProteinCoding
C19orf44	84167	ENSG00000105072	HGNC:26141	1700030K09Rik	72254	MGI:1919504	MGI_HOM_ProteinCoding
ZNF475	100505841	ENSG00000250803	HGNC:53564	1700034E13Rik	78414	MGI:1925664	MGI_HOM_ProteinCoding
C12orf71	728858	ENSG00000214700	HGNC:34452	1700034J05Rik	73344	MGI:1920594	MGI_HOM_ProteinCoding
C16orf90	646174	ENSG00000215131	HGNC:34455	1700037C18Rik	73261	MGI:1920511	MGI_HOM_ProteinCoding
C2orf69	205327	ENSG00000178074	HGNC:26799	1700066M21Rik	73467	MGI:1920717	MGI_HOM_ProteinCoding
C19orf67	646457	ENSG00000188032	HGNC:34354	1700067K01Rik	73453	MGI:1920703	MGI_HOM_ProteinCoding
C22orf23	84645	ENSG00000128346	HGNC:18589	1700088E04Rik	27660	MGI:1920774	MGI_HOM_ProteinCoding
C3orf62	375341	ENSG00000188315	HGNC:24771	1700102P08Rik	112418	MGI:2148248	MGI_HOM_ProteinCoding
C12orf42	374470	ENSG00000179088	HGNC:24729	1700113H08Rik	76640	MGI:1923890	MGI_HOM_ProteinCoding
C14orf119	55017	ENSG00000179933	HGNC:20270	1700123O20Rik	58248	MGI:1920893	MGI_HOM_ProteinCoding
C11orf98	102288414	ENSG00000278615	HGNC:51238	1810009A15Rik	66276	MGI:1913526	MGI_HOM_ProteinCoding
C17orf58	284018	ENSG00000186665	HGNC:27568	1810010H24Rik	69066	MGI:1916316	MGI_HOM_ProteinCoding
CXorf38	159013	ENSG00000185753	HGNC:28589	1810030O07Rik	69155	MGI:1916405	MGI_HOM_ProteinCoding
C11orf24	53838	ENSG00000171067	HGNC:1174	1810055G02Rik	72056	MGI:1919306	MGI_HOM_ProteinCoding
C11orf86	254439	ENSG00000173237	HGNC:34442	2010003K11Rik	69861	MGI:1917111	MGI_HOM_ProteinCoding
C19orf33	64073	ENSG00000167644	HGNC:16668	2200002D01Rik	72275	MGI:1919525	MGI_HOM_ProteinCoding
C12orf43	64897	ENSG00000157895	HGNC:25719	2210016L21Rik	72357	MGI:1919607	MGI_HOM_ProteinCoding
LCE7A	122526777	ENSG00000285946	HGNC:55921	2210017I01Rik	545546	MGI:3588251	MGI_HOM_ProteinCoding
KIAA0825	285600	ENSG00000185261	HGNC:28532	2210408I21Rik	72371	MGI:1919621	MGI_HOM_ProteinCoding
C6orf15	29113	ENSG00000204542	HGNC:13927	2300002M23Rik	69542	MGI:1916792	MGI_HOM_ProteinCoding
C15orf61	145853	ENSG00000189227	HGNC:34453	2300009A05Rik	69478	MGI:1916728	MGI_HOM_ProteinCoding
C1orf53	388722	ENSG00000203724	HGNC:30003	2310009B15Rik	69549	MGI:1916799	MGI_HOM_ProteinCoding
C19orf25	148223	ENSG00000119559	HGNC:26711	2310011J03Rik	66374	MGI:1913624	MGI_HOM_ProteinCoding
C19orf47	126526	ENSG00000160392	HGNC:26723	2310022A10Rik	66367	MGI:1913617	MGI_HOM_ProteinCoding
C1orf198	84886	ENSG00000119280	HGNC:25900	2310022B05Rik	69551	MGI:1916801	MGI_HOM_ProteinCoding
C11orf52	91894	ENSG00000149300	HGNC:30531	2310030G06Rik	66952	MGI:1914202	MGI_HOM_ProteinCoding
C1orf35	79169	ENSG00000143793	HGNC:19032	2310033P09Rik	67862	MGI:1915112	MGI_HOM_ProteinCoding
C6orf58	352999	ENSG00000184530	HGNC:20960	2310057J18Rik	67719	MGI:1914969	MGI_HOM_ProteinCoding
C10orf88	80007	ENSG00000119965	HGNC:25822	2310057M21Rik	68277	MGI:1915527	MGI_HOM_ProteinCoding
C6orf136	221545	ENSG00000204564	HGNC:21301	2310061I04Rik	69662	MGI:1916912	MGI_HOM_ProteinCoding
C19orf48P	84798	ENSG00000167747	HGNC:29667	2410002F23Rik	668661	MGI:1914226	MGI_HOM_ProteinCoding
C1orf52	148423	ENSG00000162642	HGNC:24871	2410004B18Rik	66421	MGI:1913671	MGI_HOM_ProteinCoding
C22orf39	128977	ENSG00000242259	HGNC:27012	2510002D24Rik	72307	MGI:1919557	MGI_HOM_ProteinCoding
C3orf70	285382	ENSG00000187068	HGNC:33731	2510009E07Rik	72190	MGI:1919440	MGI_HOM_ProteinCoding
KIAA2013	90231	ENSG00000116685	HGNC:28513	2510039O18Rik	77034	MGI:1924284	MGI_HOM_ProteinCoding
C21orf58	54058	ENSG00000160298	HGNC:1300	2610028H24Rik	76964	MGI:1924214	MGI_HOM_ProteinCoding
C1orf210	149466	ENSG00000253313	HGNC:28755	2610528J11Rik	66451	MGI:1913701	MGI_HOM_ProteinCoding
KIAA0586	9786	ENSG00000100578	HGNC:19960	2700049A03Rik	76967	MGI:1924217	MGI_HOM_ProteinCoding
C2orf72	257407	ENSG00000204128	HGNC:27418	2810459M11Rik	72792	MGI:1920042	MGI_HOM_ProteinCoding
KIAA1671	85379	ENSG00000197077	HGNC:29345	2900026A02Rik	243219	MGI:1920194	MGI_HOM_ProteinCoding
C19orf18	147685	ENSG00000177025	HGNC:28642	2900092C05Rik	73090	MGI:1920340	MGI_HOM_ProteinCoding
C2orf76	130355	ENSG00000186132	HGNC:27017	3110009E18Rik	73103	MGI:1920353	MGI_HOM_ProteinCoding
C15orf40	123207	ENSG00000169609	HGNC:28443	3110040N11Rik	67290	MGI:1914540	MGI_HOM_ProteinCoding
C10orf71	118461	ENSG00000177354	HGNC:26973	3425401B19Rik	100504518	MGI:3588196	MGI_HOM_ProteinCoding
C5orf34	375444	ENSG00000172244	HGNC:24738	4833420G17Rik	67392	MGI:1914642	MGI_HOM_ProteinCoding
KIAA1191	57179	ENSG00000122203	HGNC:29209	4833439L19Rik	97820	MGI:1921162	MGI_HOM_ProteinCoding
C10orf67	256815	ENSG00000179133	HGNC:28716	4921504E06Rik	70909	MGI:1918087	MGI_HOM_ProteinCoding
C9orf153	389766	ENSG00000187753	HGNC:31456	4921517D22Rik	70900	MGI:1918150	MGI_HOM_ProteinCoding
HDIP1	388272	ENSG00000155330	HGNC:33754	4921524J17Rik	66714	MGI:1913964	MGI_HOM_ProteinCoding
C5orf52	100190949	ENSG00000187658	HGNC:35121	4921536K21Rik	67430	MGI:1914680	MGI_HOM_ProteinCoding
C1orf141	400757	ENSG00000203963	HGNC:32044	4921539E11Rik	70941	MGI:1918191	MGI_HOM_ProteinCoding
C22orf46P	79640	ENSG00000184208	HGNC:26294	4930407I10Rik	328573	MGI:2685593	MGI_HOM_ProteinCoding
C8orf89	100130301	ENSG00000274443	HGNC:51258	4930444P10Rik	75799	MGI:1923049	MGI_HOM_ProteinCoding
C14orf39	317761	ENSG00000179008	HGNC:19849	4930447C04Rik	75801	MGI:1923051	MGI_HOM_ProteinCoding
C3orf38	285237	ENSG00000179021	HGNC:28384	4930453N24Rik	67609	MGI:1914859	MGI_HOM_ProteinCoding
C5orf58	133874	ENSG00000234511	HGNC:37272	4930469K13Rik	76874	MGI:1924124	MGI_HOM_ProteinCoding
C18orf54	162681	ENSG00000166845	HGNC:13796	4930503L19Rik	269033	MGI:1922045	MGI_HOM_ProteinCoding
C1orf185	284546	ENSG00000204006	HGNC:28096	4930522H14Rik	67646	MGI:1914896	MGI_HOM_ProteinCoding
KIAA0040	9674	ENSG00000235750	HGNC:28950	4930523C07Rik	67647	MGI:1914897	MGI_HOM_ProteinCoding
C5orf47	133491	ENSG00000185056	HGNC:27026	4930524B15Rik	67592	MGI:1914842	MGI_HOM_ProteinCoding
C17orf107	100130311	ENSG00000205710	HGNC:37238	4930544D05Rik	668433	MGI:2148639	MGI_HOM_ProteinCoding
C11orf65	160140	ENSG00000166323	HGNC:28519	4930550C14Rik	75311	MGI:1922561	MGI_HOM_ProteinCoding
C1orf105	92346	ENSG00000180999	HGNC:29591	4930558K02Rik	75368	MGI:1922618	MGI_HOM_ProteinCoding
C16orf96	342346	ENSG00000205832	HGNC:40031	4930562C15Rik	78809	MGI:1926059	MGI_HOM_ProteinCoding
C17orf100	388327	ENSG00000256806	HGNC:34494	4930563E22Rik	75304	MGI:1922554	MGI_HOM_ProteinCoding
C8orf74	203076	ENSG00000171060	HGNC:32296	4930578I06Rik	67750	MGI:1915000	MGI_HOM_ProteinCoding
C4orf17	84103	ENSG00000138813	HGNC:25274	4930579F01Rik	67741	MGI:1914991	MGI_HOM_ProteinCoding
C4orf46	201725	ENSG00000205208	HGNC:27320	4930579G24Rik	75939	MGI:1923189	MGI_HOM_ProteinCoding
FAM194C	84077	ENSG00000131379	HGNC:25320	4930590J08Rik	381798	MGI:2685917	MGI_HOM_ProteinCoding
C14orf93	60686	ENSG00000100802	HGNC:20162	4931414P19Rik	74359	MGI:1921609	MGI_HOM_ProteinCoding
C16orf78	123970	ENSG00000166152	HGNC:28479	4933402J07Rik	330820	MGI:3607717	MGI_HOM_ProteinCoding
C10orf120	399814	ENSG00000183559	HGNC:25707	4933402N03Rik	233918	MGI:1914681	MGI_HOM_ProteinCoding
C16orf86	388284	ENSG00000159761	HGNC:33755	4933405L10Rik	71046	MGI:1918296	MGI_HOM_ProteinCoding
C10orf62	414157	ENSG00000203942	HGNC:23294	4933411K16Rik	66765	MGI:1914015	MGI_HOM_ProteinCoding
C2orf92	728537	ENSG00000228486	HGNC:49272	4933424G06Rik	71166	MGI:1918416	MGI_HOM_ProteinCoding
KIAA0753	9851	ENSG00000198920	HGNC:29110	4933427D14Rik	74477	MGI:1921727	MGI_HOM_ProteinCoding
C9orf43	257169	ENSG00000157653	HGNC:23570	4933430I17Rik	214106	MGI:3045314	MGI_HOM_ProteinCoding
KIAA0930	23313	ENSG00000100364	HGNC:1314	5031439G07Rik	223739	MGI:2444899	MGI_HOM_ProteinCoding
C1orf216	127703	ENSG00000142686	HGNC:26800	5730409E04Rik	230757	MGI:3609248	MGI_HOM_ProteinCoding
C17orf75	64149	ENSG00000108666	HGNC:30173	5730455P16Rik	70591	MGI:1917841	MGI_HOM_ProteinCoding
C5orf22	55322	ENSG00000082213	HGNC:25639	6030458C11Rik	77877	MGI:1925127	MGI_HOM_ProteinCoding
IL40	100141515	ENSG00000187997	HGNC:34490	6030468B19Rik	77727	MGI:1924977	MGI_HOM_ProteinCoding
KIAA0513	9764	ENSG00000135709	HGNC:29058	6430548M08Rik	234797	MGI:2443793	MGI_HOM_ProteinCoding
C20orf173	140873	ENSG00000125975	HGNC:16166	6430550D23Rik	320095	MGI:2443361	MGI_HOM_ProteinCoding
C3orf18	51161	ENSG00000088543	HGNC:24837	6430571L13Rik	235599	MGI:2445137	MGI_HOM_ProteinCoding
C20orf96	140680	ENSG00000196476	HGNC:16227	6820408C15Rik	228778	MGI:3045333	MGI_HOM_ProteinCoding
C6orf141	135398	ENSG00000197261	HGNC:21351	9130008F23Rik	71583	MGI:1918833	MGI_HOM_ProteinCoding
KIAA0408	9729	ENSG00000189367	HGNC:21636	9330159F19Rik	212448	MGI:3036239	MGI_HOM_ProteinCoding
C1orf159	54991	ENSG00000131591	HGNC:26062	9430015G10Rik	230996	MGI:2444364	MGI_HOM_ProteinCoding
C10orf143	387723	ENSG00000237489	HGNC:48677	9430038I01Rik	77252	MGI:1924502	MGI_HOM_ProteinCoding
C5orf15	56951	ENSG00000113583	HGNC:20656	9530068E07Rik	213673	MGI:2654705	MGI_HOM_ProteinCoding
C8orf58	541565	ENSG00000241852	HGNC:32233	9930012K11Rik	268759	MGI:2145726	MGI_HOM_ProteinCoding
ASIP	434	ENSG00000101440	HGNC:745	a	50518	MGI:87853	MGI_HOM_ProteinCoding
C1orf74	148304	ENSG00000162757	HGNC:26319	A130010J15Rik	319266	MGI:2441776	MGI_HOM_ProteinCoding
A1BG	1	ENSG00000121410	HGNC:5	A1bg	117586	MGI:2152878	MGI_HOM_ProteinCoding
A1CF	29974	ENSG00000148584	HGNC:24086	A1cf	69865	MGI:1917115	MGI_HOM_ProteinCoding
A2M	2	ENSG00000175899	HGNC:7	A2m	232345	MGI:2449119	MGI_HOM_ProteinCoding
A3GALT2	127550	ENSG00000184389	HGNC:30005	A3galt2	215493	MGI:2685279	MGI_HOM_ProteinCoding
C1orf174	339448	ENSG00000198912	HGNC:27915	A430005L14Rik	97159	MGI:2140680	MGI_HOM_ProteinCoding
A4GALT	53947	ENSG00000128274	HGNC:18149	A4galt	239559	MGI:3512453	MGI_HOM_ProteinCoding
A4GNT	51146	ENSG00000118017	HGNC:17968	A4gnt	333424	MGI:2143261	MGI_HOM_ProteinCoding
C14orf180	400258	ENSG00000184601	HGNC:33795	A530016L24Rik	319942	MGI:2443020	MGI_HOM_ProteinCoding
C8orf34	116328	ENSG00000165084	HGNC:30905	A830018L16Rik	320492	MGI:2444149	MGI_HOM_ProteinCoding
C11orf91	100131378	ENSG00000205177	HGNC:34444	A930018P22Rik	68243	MGI:1915493	MGI_HOM_ProteinCoding
C1orf116	79098	ENSG00000182795	HGNC:28667	AA986860	212439	MGI:2138143	MGI_HOM_ProteinCoding
AAAS	8086	ENSG00000094914	HGNC:13666	Aaas	223921	MGI:2443767	MGI_HOM_ProteinCoding
AACS	65985	ENSG00000081760	HGNC:21298	Aacs	78894	MGI:1926144	MGI_HOM_ProteinCoding
AADAC	13	ENSG00000114771	HGNC:17	Aadac	67758	MGI:1915008	MGI_HOM_ProteinCoding
AADACL2	344752	ENSG00000197953	HGNC:24427	Aadacl2	639634	MGI:3646333	MGI_HOM_ProteinCoding
AADACL3	126767	ENSG00000188984	HGNC:32037	Aadacl3	230883	MGI:2685281	MGI_HOM_ProteinCoding
AADAT	51166	ENSG00000109576	HGNC:17929	Aadat	23923	MGI:1345167	MGI_HOM_ProteinCoding
AAGAB	79719	ENSG00000103591	HGNC:25662	Aagab	66939	MGI:1914189	MGI_HOM_ProteinCoding
AAK1	22848	ENSG00000115977	HGNC:19679	Aak1	269774	MGI:1098687	MGI_HOM_ProteinCoding
AAMDC	28971	ENSG00000087884	HGNC:30205	Aamdc	66273	MGI:1913523	MGI_HOM_ProteinCoding
AAMP	14	ENSG00000127837	HGNC:18	Aamp	227290	MGI:107809	MGI_HOM_ProteinCoding
AANAT	15	ENSG00000129673	HGNC:19	Aanat	11298	MGI:1328365	MGI_HOM_ProteinCoding
AAR2	25980	ENSG00000131043	HGNC:15886	Aar2	68295	MGI:1915545	MGI_HOM_ProteinCoding
AARD	441376	ENSG00000205002	HGNC:33842	Aard	239435	MGI:2181621	MGI_HOM_ProteinCoding
AARS1	16	ENSG00000090861	HGNC:20	Aars1	234734	MGI:2384560	MGI_HOM_ProteinCoding
AARS2	57505	ENSG00000124608	HGNC:21022	Aars2	224805	MGI:2681839	MGI_HOM_ProteinCoding
AASDH	132949	ENSG00000157426	HGNC:23993	Aasdh	231326	MGI:2442517	MGI_HOM_ProteinCoding
AASDHPPT	60496	ENSG00000149313	HGNC:14235	Aasdhppt	67618	MGI:1914868	MGI_HOM_ProteinCoding
AASS	10157	ENSG00000008311	HGNC:17366	Aass	30956	MGI:1353573	MGI_HOM_ProteinCoding
AATF	26574	ENSG00000275700	HGNC:19235	Aatf	56321	MGI:1929608	MGI_HOM_ProteinCoding
LMTK1	9625	ENSG00000181409	HGNC:21	Aatk	11302	MGI:1197518	MGI_HOM_ProteinCoding
C19orf38	255809	ENSG00000214212	HGNC:34073	AB124611	382062	MGI:3043001	MGI_HOM_ProteinCoding
ABAT	18	ENSG00000183044	HGNC:23	Abat	268860	MGI:2443582	MGI_HOM_ProteinCoding
ABCA1	19	ENSG00000165029	HGNC:29	Abca1	11303	MGI:99607	MGI_HOM_ProteinCoding
ABCA12	26154	ENSG00000144452	HGNC:14637	Abca12	74591	MGI:2676312	MGI_HOM_ProteinCoding
ABCA13	154664	ENSG00000179869	HGNC:14638	Abca13	268379	MGI:2388707	MGI_HOM_ProteinCoding
ABCA15P	400508	ENSG00000189149	HGNC:34405	Abca15	320631	MGI:2388709	MGI_HOM_ProteinCoding
ABCA17P	650655	ENSG00000238098	HGNC:32972	Abca17	381072	MGI:3625331	MGI_HOM_ProteinCoding
ABCA2	20	ENSG00000107331	HGNC:32	Abca2	11305	MGI:99606	MGI_HOM_ProteinCoding
ABCA3	21	ENSG00000167972	HGNC:33	Abca3	27410	MGI:1351617	MGI_HOM_ProteinCoding
ABCA4	24	ENSG00000198691	HGNC:34	Abca4	11304	MGI:109424	MGI_HOM_ProteinCoding
ABCA5	23461	ENSG00000154265	HGNC:35	Abca5	217265	MGI:2386607	MGI_HOM_ProteinCoding
ABCA6	23460	ENSG00000154262	HGNC:36	Abca6	76184	MGI:1923434	MGI_HOM_ProteinCoding
ABCA7	10347	ENSG00000064687	HGNC:37	Abca7	27403	MGI:1351646	MGI_HOM_ProteinCoding
ABCA9	10350	ENSG00000154258	HGNC:39	Abca9	217262	MGI:2386796	MGI_HOM_ProteinCoding
ABCB10	23456	ENSG00000135776	HGNC:41	Abcb10	56199	MGI:1860508	MGI_HOM_ProteinCoding
ABCB11	8647	ENSG00000073734	HGNC:42	Abcb11	27413	MGI:1351619	MGI_HOM_ProteinCoding
ABCB4	5244	ENSG00000005471	HGNC:45	Abcb4	18670	MGI:97569	MGI_HOM_ProteinCoding
ABCB5	340273	ENSG00000004846	HGNC:46	Abcb5	77706	MGI:1924956	MGI_HOM_ProteinCoding
ABCB6	10058	ENSG00000115657	HGNC:47	Abcb6	74104	MGI:1921354	MGI_HOM_ProteinCoding
ABCB7	22	ENSG00000131269	HGNC:48	Abcb7	11306	MGI:109533	MGI_HOM_ProteinCoding
ABCB8	11194	ENSG00000197150	HGNC:49	Abcb8	74610	MGI:1351667	MGI_HOM_ProteinCoding
ABCB9	23457	ENSG00000150967	HGNC:50	Abcb9	56325	MGI:1861729	MGI_HOM_ProteinCoding
ABCC1	4363	ENSG00000103222	HGNC:51	Abcc1	17250	MGI:102676	MGI_HOM_ProteinCoding
ABCC10	89845	ENSG00000124574	HGNC:52	Abcc10	224814	MGI:2386976	MGI_HOM_ProteinCoding
ABCC12	94160	ENSG00000140798	HGNC:14640	Abcc12	244562	MGI:2441679	MGI_HOM_ProteinCoding
ABCC2	1244	ENSG00000023839	HGNC:53	Abcc2	12780	MGI:1352447	MGI_HOM_ProteinCoding
ABCC3	8714	ENSG00000108846	HGNC:54	Abcc3	76408	MGI:1923658	MGI_HOM_ProteinCoding
ABCC4	10257	ENSG00000125257	HGNC:55	Abcc4	239273	MGI:2443111	MGI_HOM_ProteinCoding
ABCC5	10057	ENSG00000114770	HGNC:56	Abcc5	27416	MGI:1351644	MGI_HOM_ProteinCoding
ABCC6	368	ENSG00000091262	HGNC:57	Abcc6	27421	MGI:1351634	MGI_HOM_ProteinCoding
ABCC8	6833	ENSG00000006071	HGNC:59	Abcc8	20927	MGI:1352629	MGI_HOM_ProteinCoding
ABCC9	10060	ENSG00000069431	HGNC:60	Abcc9	20928	MGI:1352630	MGI_HOM_ProteinCoding
ABCD1	215	ENSG00000101986	HGNC:61	Abcd1	11666	MGI:1349215	MGI_HOM_ProteinCoding
ABCD2	225	ENSG00000173208	HGNC:66	Abcd2	26874	MGI:1349467	MGI_HOM_ProteinCoding
ABCD3	5825	ENSG00000117528	HGNC:67	Abcd3	19299	MGI:1349216	MGI_HOM_ProteinCoding
ABCD4	5826	ENSG00000119688	HGNC:68	Abcd4	19300	MGI:1349217	MGI_HOM_ProteinCoding
ABCE1	6059	ENSG00000164163	HGNC:69	Abce1	24015	MGI:1195458	MGI_HOM_ProteinCoding
ABCF1	23	ENSG00000204574	HGNC:70	Abcf1	224742	MGI:1351658	MGI_HOM_ProteinCoding
ABCF3	55324	ENSG00000161204	HGNC:72	Abcf3	27406	MGI:1351656	MGI_HOM_ProteinCoding
ABCG1	9619	ENSG00000160179	HGNC:73	Abcg1	11307	MGI:107704	MGI_HOM_ProteinCoding
ABCG4	64137	ENSG00000172350	HGNC:13884	Abcg4	192663	MGI:1890594	MGI_HOM_ProteinCoding
ABCG5	64240	ENSG00000138075	HGNC:13886	Abcg5	27409	MGI:1351659	MGI_HOM_ProteinCoding
ABCG8	64241	ENSG00000143921	HGNC:13887	Abcg8	67470	MGI:1914720	MGI_HOM_ProteinCoding
ABHD10	55347	ENSG00000144827	HGNC:25656	Abhd10	213012	MGI:2442422	MGI_HOM_ProteinCoding
ABHD11	83451	ENSG00000106077	HGNC:16407	Abhd11	68758	MGI:1916008	MGI_HOM_ProteinCoding
ABHD12	26090	ENSG00000100997	HGNC:15868	Abhd12	76192	MGI:1923442	MGI_HOM_ProteinCoding
ABHD12B	145447	ENSG00000131969	HGNC:19837	Abhd12b	100504285	MGI:2685650	MGI_HOM_ProteinCoding
ABHD13	84945	ENSG00000139826	HGNC:20293	Abhd13	68904	MGI:1916154	MGI_HOM_ProteinCoding
ABHD14A	25864	ENSG00000248487	HGNC:24538	Abhd14a	68644	MGI:1915894	MGI_HOM_ProteinCoding
ABHD14B	84836	ENSG00000114779	HGNC:28235	Abhd14b	76491	MGI:1923741	MGI_HOM_ProteinCoding
ABHD15	116236	ENSG00000168792	HGNC:26971	Abhd15	67477	MGI:1914727	MGI_HOM_ProteinCoding
ABHD16A	7920	ENSG00000204427	HGNC:13921	Abhd16a	193742	MGI:99476	MGI_HOM_ProteinCoding
ABHD16B	140701	ENSG00000183260	HGNC:16128	Abhd16b	241850	MGI:3607711	MGI_HOM_ProteinCoding
ABHD17A	81926	ENSG00000129968	HGNC:28756	Abhd17a	216169	MGI:106388	MGI_HOM_ProteinCoding
ABHD17B	51104	ENSG00000107362	HGNC:24278	Abhd17b	226016	MGI:1917816	MGI_HOM_ProteinCoding
ABHD17C	58489	ENSG00000136379	HGNC:26925	Abhd17c	70178	MGI:1917428	MGI_HOM_ProteinCoding
ABHD18	80167	ENSG00000164074	HGNC:26111	Abhd18	269423	MGI:1915468	MGI_HOM_ProteinCoding
ABHD2	11057	ENSG00000140526	HGNC:18717	Abhd2	54608	MGI:1914344	MGI_HOM_ProteinCoding
ABHD3	171586	ENSG00000158201	HGNC:18718	Abhd3	106861	MGI:2147183	MGI_HOM_ProteinCoding
ABHD4	63874	ENSG00000100439	HGNC:20154	Abhd4	105501	MGI:1915938	MGI_HOM_ProteinCoding
ABHD5	51099	ENSG00000011198	HGNC:21396	Abhd5	67469	MGI:1914719	MGI_HOM_ProteinCoding
ABHD6	57406	ENSG00000163686	HGNC:21398	Abhd6	66082	MGI:1913332	MGI_HOM_ProteinCoding
ABHD8	79575	ENSG00000127220	HGNC:23759	Abhd8	64296	MGI:1918946	MGI_HOM_ProteinCoding
ABI1	10006	ENSG00000136754	HGNC:11320	Abi1	11308	MGI:104913	MGI_HOM_ProteinCoding
ABI2	10152	ENSG00000138443	HGNC:24011	Abi2	329165	MGI:106913	MGI_HOM_ProteinCoding
ABI3	51225	ENSG00000108798	HGNC:29859	Abi3	66610	MGI:1913860	MGI_HOM_ProteinCoding
ABI3BP	25890	ENSG00000154175	HGNC:17265	Abi3bp	320712	MGI:2444583	MGI_HOM_ProteinCoding
ABITRAM	54942	ENSG00000119328	HGNC:1364	Abitram	230234	MGI:2677850	MGI_HOM_ProteinCoding
ABL1	25	ENSG00000097007	HGNC:76	Abl1	11350	MGI:87859	MGI_HOM_ProteinCoding
ABL2	27	ENSG00000143322	HGNC:77	Abl2	11352	MGI:87860	MGI_HOM_ProteinCoding
ABLIM1	3983	ENSG00000099204	HGNC:78	Ablim1	226251	MGI:1194500	MGI_HOM_ProteinCoding
ABLIM2	84448	ENSG00000163995	HGNC:19195	Ablim2	231148	MGI:2385758	MGI_HOM_ProteinCoding
ABLIM3	22885	ENSG00000173210	HGNC:29132	Ablim3	319713	MGI:2442582	MGI_HOM_ProteinCoding
ABO	28	ENSG00000175164	HGNC:79	Abo	80908	MGI:2135738	MGI_HOM_ProteinCoding
ABR	29	ENSG00000159842	HGNC:81	Abr	109934	MGI:107771	MGI_HOM_ProteinCoding
ABRA	137735	ENSG00000174429	HGNC:30655	Abra	223513	MGI:2444891	MGI_HOM_ProteinCoding
ABRACL	58527	ENSG00000146386	HGNC:21230	Abracl	73112	MGI:1920362	MGI_HOM_ProteinCoding
ABRAXAS1	84142	ENSG00000163322	HGNC:25829	Abraxas1	70681	MGI:1917931	MGI_HOM_ProteinCoding
